STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150101,8,-9999,-9999,34
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150102,41,-9999,101,47
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150103,38,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150104,0,-9999,55,28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150105,114,-9999,52,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150106,5,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150107,20,-9999,-9999,29
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150108,20,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150109,23,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150110,180,-9999,-9999,36
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150111,94,-9999,64,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150112,33,-9999,80,40
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150113,51,-9999,73,28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150114,66,-9999,43,16
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150115,5,-9999,-9999,22
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150116,69,-9999,71,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150117,13,-9999,54,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150118,25,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150119,0,-9999,-9999,3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150120,28,-9999,24,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150121,79,10,20,-4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150122,13,10,14,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150123,0,-9999,-9999,-25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150124,5,20,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150125,0,30,42,-28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150126,10,20,53,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150127,58,-9999,-9999,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150128,3,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150129,89,20,47,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150130,5,10,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150131,0,-9999,25,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150201,3,-9999,22,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150202,91,-9999,13,-20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150203,15,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150204,0,-9999,-9999,-113
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150205,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150206,0,-9999,-9999,-39
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150207,3,-9999,-9999,15
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150208,0,-9999,-9999,18
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150209,5,-9999,-9999,40
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150210,0,-9999,-9999,34
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150211,0,-9999,60,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150212,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150213,5,-9999,42,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150214,0,-9999,24,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150215,0,-9999,-9999,3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150216,3,-9999,34,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150217,0,-9999,-9999,19
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150218,3,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150219,18,-9999,64,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150220,8,-9999,60,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150221,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150222,3,-9999,-9999,20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150223,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150224,18,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150225,33,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150226,5,-9999,-9999,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150227,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150228,0,-9999,-9999,-6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150301,18,-9999,-9999,25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150302,43,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150303,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150304,20,-9999,-9999,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150305,0,-9999,-9999,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150306,0,-9999,-9999,58
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150307,0,-9999,-9999,50
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150308,0,-9999,-9999,-9999
