tplace,year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Agrinio,1961,8.56,9.18,10.86,14.62,18.13,21.98,25.97,25.33,21.75,17.61,13.15,10.7
Agrinio,1962,8.48,8.94,10.21,13.93,17.34,22.34,26.51,26.01,21.45,17.65,13.1,9.33
Agrinio,1963,9.3,9.85,10.75,13.45,17.71,22.24,25.52,25.44,22.35,16.57,13.41,8.56
Agrinio,1964,8.67,8.42,10.49,14.27,17.52,21.87,25.25,25.19,22.32,17.99,13.52,9.03
Agrinio,1965,7.59,8.05,10.68,13.45,17.64,22.75,25.9,25.53,22.26,16.99,13.31,10.42
Agrinio,1966,8.86,8.38,10.35,13.32,17.25,22.09,25.58,26.03,21.55,15.89,12.54,9.6
Agrinio,1967,9.16,8.79,10.94,13.29,17.81,21.78,25.65,26.28,22.36,18.66,13.9,9.76
Agrinio,1968,8.25,8.63,10.69,13.96,17.47,21.98,26.27,26.45,22.5,16.49,13.09,9.27
Agrinio,1969,9.01,9.69,10.71,13.25,17.93,21.02,24.71,24.81,21.81,18.09,12.65,10.66
Agrinio,1970,8.09,9.6,11.33,13.92,17.49,22.38,25.77,25.14,21.82,17.69,12.23,9.46
Agrinio,1971,7.27,8.53,10.56,13.13,17.21,21.88,24.21,24.76,21.02,17.55,12.07,10.17
Agrinio,1972,8.46,8.57,10.89,14.02,17.23,21.5,25.43,25.2,21.98,16.28,13.11,8.81
Agrinio,1973,7.74,9.39,11.14,13.28,17.84,22.91,25.85,25.4,22.42,17.8,14.28,8.65
Agrinio,1974,7.39,9.07,10.47,13.75,17.59,22.23,25.47,25.8,22.4,17.19,12.65,9.11
Agrinio,1975,7.94,9.42,10.71,13.89,17.74,21.89,25.39,26.29,21.42,17.56,13.4,9.35
Agrinio,1976,8.23,8.91,10.78,13.49,18.1,21.91,25.94,26.01,21.7,17.05,13.22,10.75
Agrinio,1977,8.02,8.1,10.41,12.77,17.04,22.75,25.34,25.88,22.19,16.87,13.46,9.55
Agrinio,1978,8.44,8.39,10.58,14.45,18.21,23.58,25.87,24.98,21.57,17.84,13.33,9.66
Agrinio,1979,8.45,8.49,10.34,13.21,17.88,22.17,25.98,25.32,22.45,17.25,13.68,9.76
Agrinio,1980,9.06,8.66,10.59,14.43,17.47,23.46,25.89,26,22.55,17.05,12.53,10.32
Agrinio,1981,9.68,7.57,10.56,13.78,18.07,22.38,26.15,25.26,21.29,16.54,13.41,10.08
Agrinio,1982,8.71,7.78,10.28,12.91,17.16,20.86,25.1,25.19,21.41,17.58,12.08,9.51
Agrinio,1983,8.53,8.38,10.65,13.52,17.34,21.79,25.32,25.82,22.33,18.33,13.43,8.84
Agrinio,1984,8.36,9.1,11.28,13.8,17.56,21.3,25.56,25.46,22.03,16.4,12.4,8.83
Agrinio,1985,7.58,8.13,11.01,13.47,17.75,22.04,25.66,25.67,21.72,17.57,13.53,10.1
Agrinio,1986,8.57,8.39,11.06,12.9,17.18,22.42,25.21,25.9,22.75,17.92,12.53,10.14
Agrinio,1987,8.48,9.12,11.04,13.66,17.48,23.33,26.15,25.64,22.35,17.4,12.7,9.09
Agrinio,1988,7.86,9.31,10.18,13.97,17.74,22.49,26.43,25.25,22.19,17.58,12.34,8.81
Agrinio,1989,8.42,7.51,10.89,13.58,18.2,23.45,26.07,27.1,22.1,16.83,13.7,9.44
Agrinio,1990,9.13,8.69,11.17,13.35,18.15,22.74,25.86,26.72,23,17.01,13.1,9.41
Agrinio,1991,8.92,9.42,10.69,13.57,17.96,22.66,25.09,26.32,23.48,17.22,13.02,9.95
Agrinio,1992,9.39,9.54,11.23,14.19,19.25,23.09,26.24,27.19,22.59,18,12.72,9.72
Agrinio,1993,8.87,8.67,11.56,14.56,19.11,23.55,27.18,26.61,23.62,18.64,13.88,9.25
Agrinio,1994,8.77,9.55,10.33,14.36,17.98,22.92,25.8,25.76,22.15,17.56,12.22,8.98
Agrinio,1995,8.3,9.02,11.1,14.05,18.08,23.17,26.19,25.91,23.04,19.35,14.26,9.15
Agrinio,1996,8.91,9.42,11.52,13.71,18.32,22.54,26.21,26.64,22.75,17.54,12.66,9.42
Agrinio,1997,7.51,8.72,11.19,14.89,18.4,22.96,25.56,27.05,23.31,17.81,13.59,9.31
Agrinio,1998,9.1,9.86,11.42,14.77,17.8,23.12,25.97,26.05,23.05,18.19,13.96,10.62
Agrinio,1999,10.19,10.11,11.54,14.39,17.8,22.6,25.8,25.81,22.48,17.45,13.34,10.01
Agrinio,2000,9.18,10.56,11.81,14.32,17.55,22.93,25.56,25.73,21.72,17.47,14.54,10.54
Agrinio,2001,9.76,8.22,11.26,14.39,18.56,21.97,26.75,26.62,23.02,17.46,12.54,9.87
Agrinio,2002,9.14,8.82,11.41,14.43,18.62,22.76,26.53,26.43,23.41,19.12,14.39,9.16
Agrinio,2003,8.95,9.18,11.02,13.73,18.86,23.35,27.13,26.32,22.74,16.98,12.82,10.57
Agrinio,2004,8.85,8.77,10.95,14.73,18.75,23,26.63,26.73,22.85,18.42,13.01,10.26
Agrinio,2005,8.96,8.94,11.56,13.95,17.91,23.38,26,26.7,22.73,17.69,13.61,10.27
Agrinio,2006,9.6,9.88,10.76,13.71,17.14,22.17,25.91,25.96,22.8,18.08,12.49,9.68
Agrinio,2007,9.57,10.08,11.16,13.75,17.56,23.01,26.39,25.56,22.66,18.2,13.88,9.68
Agrinio,2008,7.33,8.08,11.17,14.14,18.3,23.46,25.52,27.03,23.18,18.85,14.14,11.33
Agrinio,2009,9.83,10.13,11.98,15.13,18.89,23.79,27.32,26.72,22.55,18.69,13.98,9.34
Agrinio,2010,9.74,10.27,10.85,14.4,18.22,22.86,26.23,27.43,23.04,17.98,13.54,9.58
Agrinio,2011,8.26,8.9,11.22,14.17,18.17,22.46,27.08,26.63,22.81,17.61,13.38,10.45
Agrinio,2012,8.59,8.79,11.24,13.87,18.79,22.82,26.62,26.36,23.72,18.27,13.25,10.82
Agrinio,2013,9.31,10.66,11.6,14.07,19.41,23.74,27.26,26.56,22.95,18.24,14.01,9.28
Agrinio,2014,8.74,8.98,10.98,13.96,17.71,22.65,26.27,26.49,23.17,18.58,14.13,10.47
Agrinio,2015,8.72,8.28,10.99,14.07,18.47,23.07,26.01,26.58,22.38,18.16,12.71,10.1
Agrinio,2016,9.97,9.62,12.51,14.28,18.18,23.85,26.82,26.81,24.02,18.8,12.81,10.98
Agrinio,2017,8.74,9.39,12.09,15.32,18.96,23.45,26.63,26.48,23.3,18.62,14.4,10.19
Agrinio,2018,8.97,9.86,10.88,13.62,19.09,22.87,27.2,27.37,23.46,17.79,13.13,10.48
Agrinio,2019,8.81,9.63,11.8,14.4,19.22,23.24,27.48,28.05,24.49,18.85,12.95,9.17
Agrinio,2020,9.1,8.97,11.17,14.55,18.95,21.76,27.03,26.28,23.05,18.03,12.81,9.36
Agrinio,2021,8.71,9.52,9.95,14.04,18.61,22.84,26.51,26.86,22.98,17.53,14.28,9.41
Agrinio,2022,8.73,9.5,10.98,13.87,19.03,23.61,27.57,27.4,23.53,19,13.82,9.1
Agrinio,2023,8.86,8.94,11.85,14.76,18.33,22.42,26.2,27.5,23.62,17.67,13.25,10.34
Agrinio,2024,8.8,9.1,11.76,14.33,18.65,23.75,27.28,27.12,23.44,18.22,13.69,11.33
Agrinio,2025,9.23,9.78,11.09,14.59,18.77,24.41,27.31,27.54,23.3,18.75,13.25,10.98
Agrinio,2026,9.76,10.08,12.03,14.39,18.5,22.71,26.2,27,22.32,17.18,13.21,10.59
Agrinio,2027,8.63,9.73,11.44,14,18.37,23.8,27.39,26.38,23.89,18.84,13.58,10.06
Agrinio,2028,9.01,9.85,11.24,15.08,19.23,23.79,26.03,26.46,23.73,18.72,14.18,10.42
Agrinio,2029,8.65,9.95,12.2,14.76,18.74,23.1,26.53,27.12,23.21,19.45,13.4,10.54
Agrinio,2030,8.04,9.71,11.81,14.62,18.57,25.11,26.63,28.18,24.44,19.22,13.27,10.61
Agrinio,2031,9.65,9.43,11.66,14.5,19.09,23.45,27.52,29.04,24.87,19.38,13.99,10.7
Agrinio,2032,9.51,9.68,11.71,14.12,20.08,24.94,27.91,27.77,24.84,19.1,14.05,10.79
