tplace,year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Antalya,1961,9.63,10.15,12.24,17.23,20.34,24.64,27.94,27.62,24.57,20.18,15.32,11.69
Antalya,1962,9.41,10.15,11.74,15.71,19.39,24.58,29.15,28.64,24.43,19.81,15.01,10.17
Antalya,1963,9.75,10.52,12.97,15.54,19.49,24.38,27.56,27.93,24.78,19.39,15.21,10.07
Antalya,1964,9.77,9.68,11.97,15.67,19.79,24.31,27.6,27.25,24.86,20.46,15.27,10.99
Antalya,1965,9.03,9.92,12.3,15.16,18.63,25.07,27.76,27.18,24.5,19.34,14.6,11.12
Antalya,1966,10.28,9.94,12.25,15.37,19.91,23.52,27.94,28.51,25.06,18.61,14.24,10.89
Antalya,1967,10.29,10,12.7,14.79,19.55,23.83,27.32,27.92,24.64,21.32,15.69,10.94
Antalya,1968,9.66,9.87,11.79,15.63,19.34,24.25,28.24,28.49,24.91,19.32,14.36,9.88
Antalya,1969,9.37,10.82,12.18,15.29,19.64,23.53,27.27,26.62,23.92,20.24,14.58,10.92
Antalya,1970,9.43,10.46,12.61,15.76,19.29,25.07,27.88,27.56,24.37,20.09,13.98,10.41
Antalya,1971,8.71,9.91,11.91,14.96,19.11,23.98,26.65,27.53,24.21,20.19,14.58,11.4
Antalya,1972,9.74,9.93,12.76,15.86,19.37,23.1,27.78,28.05,24.23,19.45,14.84,10.6
Antalya,1973,9.25,10.55,12.73,15.1,19.6,24.65,27.7,28.23,24.96,20.07,15.28,10.04
Antalya,1974,8.38,9.88,11.91,15.43,19.75,24.56,27.24,27.44,24.4,19.44,14.87,10.37
Antalya,1975,9.13,10.6,12.21,15.9,20,24.27,27.66,28.3,24.49,19.97,14.97,10.25
Antalya,1976,8.8,9.54,12.08,15.08,19.1,23.73,27.48,27.9,24.05,19.62,14.56,11.3
Antalya,1977,9.46,9.59,11.77,14.7,19.62,24.51,27.54,28.45,24.76,19.41,14.42,10.77
Antalya,1978,9.67,9.51,11.9,16.51,21,25.65,28.73,27.81,24,20.25,15.01,10.42
Antalya,1979,9.98,9.66,11.86,15.21,19.72,24.21,27.97,27.36,24.88,20.22,15.94,11.35
Antalya,1980,9.98,10.08,12.14,15.93,19.67,26.22,28.23,27.67,24.73,19.15,14.52,11.17
Antalya,1981,10.68,9.22,12.2,16.02,19.65,24.75,28.57,27.86,25.09,19.21,15.26,11.19
Antalya,1982,9.9,9.18,11.9,14.76,19.02,23.86,27.07,27.41,23.92,19.83,14.13,10.69
Antalya,1983,9.08,9.81,11.91,15.41,19.16,23.76,27.18,27.83,24.51,20.75,14.8,10.07
Antalya,1984,9.2,10.73,12.68,15.85,19.3,23.98,27.25,27.56,24.15,19,14.07,9.99
