CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,4,3,5,4,2,100,93,78,1028,1022,1012,10,5,1,40,26,55,0.00,7,Fog-Rain,243
2015-1-2,9,7,4,7,3,0,100,84,71,1011,1006,1000,10,8,2,58,43,84,0.25,6,Rain,257
2015-1-3,6,3,2,3,2,0,93,85,69,1012,1008,1005,10,10,5,47,34,69,3.05,5,Rain-Snow,275
2015-1-4,4,2,1,2,-1,-3,93,77,60,1025,1019,1009,10,10,10,32,23,48,0.00,2,,303
2015-1-5,4,2,0,3,2,0,100,97,85,1027,1025,1022,10,7,1,27,8,,2.03,6,Rain,235
2015-1-6,3,1,-1,3,1,0,100,93,80,1027,1024,1019,10,9,3,34,13,,0.00,7,Rain,151
2015-1-7,6,3,1,4,2,0,100,93,79,1021,1019,1016,10,8,3,29,19,,0.51,5,Rain,229
2015-1-8,7,4,3,6,4,2,100,93,78,1018,1011,1008,10,7,2,37,27,53,0.25,7,Rain,234
2015-1-9,7,5,3,5,2,1,93,79,58,1011,999,992,10,9,5,58,35,93,6.10,6,Rain,258
2015-1-10,10,7,3,9,3,-2,100,81,55,999,990,982,10,8,3,64,37,98,2.03,7,Rain,257
2015-1-11,4,2,1,1,0,-2,93,76,58,1004,995,991,10,10,4,63,47,89,0.00,4,Rain,274
2015-1-12,8,6,2,7,4,0,100,88,66,1005,1000,996,10,8,3,45,27,74,2.03,7,Rain,243
2015-1-13,8,6,3,8,4,1,100,88,65,1002,998,994,10,9,3,34,19,52,3.05,6,Rain,222
2015-1-14,4,2,0,4,2,0,100,93,85,1007,1000,997,10,9,2,27,18,47,2.03,5,Rain-Snow,231
2015-1-15,7,3,1,6,3,0,100,92,85,1007,998,991,10,10,7,39,26,61,5.08,6,Rain,185
2015-1-16,7,4,2,5,2,1,93,80,64,1004,999,992,10,10,10,48,32,69,0.00,5,Rain,219
2015-1-17,4,2,1,3,1,0,100,87,66,1012,1007,1003,10,10,9,37,16,52,0.00,4,Rain,230
2015-1-18,2,0,-2,1,-1,-2,100,90,78,1014,1012,1011,10,8,5,21,13,,0.00,7,Rain,180
2015-1-19,2,1,0,1,0,-1,100,95,86,1014,1013,1013,10,5,2,19,10,,0.76,7,Rain-Snow,144
2015-1-20,1,1,0,1,1,0,100,97,89,1014,1012,1012,10,5,1,23,11,,3.05,7,Rain-Snow,122
2015-1-21,0,-1,-3,1,0,-2,100,99,93,1019,1015,1012,5,2,0,10,6,,2.03,7,Fog-Rain-Snow,299
2015-1-22,2,0,-2,1,-1,-2,100,98,87,1023,1021,1019,10,4,2,11,5,,0.00,7,,286
2015-1-23,-1,-1,-2,0,-2,-4,100,88,78,1026,1024,1022,10,9,4,16,10,,0.00,8,,260
2015-1-24,1,-1,-2,0,-2,-4,100,90,75,1022,1016,1013,10,6,1,32,19,,0.25,6,Rain-Snow,209
2015-1-25,2,-2,-6,1,-2,-5,100,97,86,1024,1021,1017,10,5,0,16,10,,0.00,4,Fog,258
2015-1-26,3,-1,-6,3,2,-1,100,99,93,1023,1013,1006,10,4,0,27,14,,0.76,7,Fog-Rain,208
2015-1-27,3,1,-1,3,1,-2,100,90,77,1014,1010,1006,10,10,10,34,23,,0.00,7,,310
2015-1-28,4,1,-2,3,2,0,100,94,83,1013,998,979,10,6,0,39,21,52,0.00,7,Fog-Rain-Snow,212
2015-1-29,2,1,0,1,0,-1,100,90,81,980,978,974,10,9,2,39,29,52,0.00,6,Rain-Snow,213
2015-1-30,2,1,0,1,0,-2,100,94,81,976,974,974,10,8,1,21,11,,0.76,7,Rain-Snow,44
2015-1-31,2,1,0,1,-1,-2,100,89,72,980,976,974,10,9,1,26,13,,0.51,7,Rain-Snow,312
2015-2-1,3,1,-1,0,-1,-3,100,86,65,986,983,979,10,10,7,29,21,40,0.00,6,Rain-Snow,275
2015-2-2,-1,-2,-3,-1,-3,-4,100,92,85,993,989,986,10,7,1,23,14,,0.00,6,Rain-Snow,298
2015-2-3,-2,-4,-6,-3,-4,-5,100,87,75,1006,999,993,10,8,3,24,11,,0.00,7,Snow,349
2015-2-4,-2,-2,-3,-3,-4,-5,93,85,74,1019,1011,1005,10,10,10,19,13,,0.00,7,Snow,357
2015-2-5,2,-3,-9,-2,-4,-9,100,89,60,1032,1026,1018,10,8,0,10,6,,0.00,7,Fog-Snow,14
2015-2-6,2,-4,-9,1,-3,-9,100,96,84,1033,1030,1027,10,5,0,23,8,,0.00,6,Fog-Rain-Snow,272
2015-2-7,6,3,1,4,2,-4,100,84,52,1028,1018,1012,10,9,5,55,27,82,0.00,6,,288
2015-2-8,5,2,1,4,-4,-11,100,59,26,1023,1019,1013,10,9,3,40,32,60,0.00,4,Rain,320
2015-2-9,7,4,1,4,3,1,100,89,74,1020,1016,1013,10,10,10,39,26,58,0.00,6,,295
2015-2-10,7,4,1,5,3,1,100,92,76,1026,1023,1019,10,10,8,27,18,,0.00,4,,297
2015-2-11,3,1,-1,2,1,-1,100,94,84,1028,1026,1024,10,9,5,21,14,,0.00,7,,274
2015-2-12,2,1,0,1,-1,-1,93,87,80,1025,1022,1021,10,7,5,14,8,,0.00,7,,231
